Name DateObs RA Dec
ASASSN-14ba 2459631.39985 155.38291667 8.40586667
ASASSN-14cu 2459631.39985 191.76116667 -24.24480556
ASASSN-14dz 2459631.39985 226.47717500 12.74536944
ASASSN-14mg 2459631.39985 43.49208333 -21.64801667
SN2014dm 2459631.39985 62.02970833 -8.82700000
SN2016ecm 2459631.39985 35.06041667 -40.88475000
SN2017cyy 2459631.39985 144.15083300 -63.94838900
SN2017dps 2459631.39985 204.16682917 -33.96702500
SN2018djd 2459631.39985 33.64095833 -0.76576944
SN2018xx 2459631.39985 193.45112500 -39.69710000
SN2018zz 2459631.39985 210.91275000 -33.97850000
SN2020ejm 2459631.39985 154.07854167 -33.56365833
SN2020xyw 2459631.39985 112.03341667 -62.35803056
SN2021afkk 2459631.39985 37.49986769 28.63418576
