sn_name,sample_name,source_file,status,fit_message,max_status,max_fit_message,ebv2_status,ebv2_fit_message,z,sample_redshift,sample_rasn,sample_decsn,sample_sntype,sample_redshift_source,max_Tmax,max_e_Tmax,max_sBV,max_e_sBV,max_st,max_e_st,ebv2_Tmax,ebv2_e_Tmax,ebv2_sBV,ebv2_e_sBV,ebv2_st,ebv2_e_st,ebv2_EBVhost,ebv2_e_EBVhost,B_Tmax,B_e_Tmax,g_Tmax,g_e_Tmax,r_Tmax,r_e_Tmax,B_Mmax,B_e_Mmax,g_Mmax,g_e_Mmax,r_Mmax,r_e_Mmax,B_Mcorr,B_kcor,g_Mcorr,g_kcor,r_Mcorr,r_kcor,EBVgal,max_rchisq,ebv2_rchisq,bands_available,max_bands_used,max_fit_attempts,ebv2_bands_used,ebv2_fit_attempts,k_version,stype,max_plot_file,ebv2_plot_file,max_fit_file,ebv2_fit_file,B_source,g_source,r_source
ASAS14hr,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14hr_raw.txt,ok,,ok,,ok,,0.033597,,,,,,56932.41474643636,0.053679562675624605,0.8694554081351528,0.012085633233599825,0.8019456372706556,0.009330230964504214,56932.42465650093,0.09171765982054811,0.8691358101820008,0.053863307302679436,0.7929312999314972,0.015519371760292285,0.21702408529167166,0.0147183345307759,56932.41796875,,56932.61328125,,56933.78125,,17.149368286132812,0.010032794438302517,17.061269760131836,0.008899965323507786,16.998798370361328,0.010429458692669868,17.133017063424557,0.01635122270825587,17.09795523403024,-0.03668547389840668,17.06373690799255,-0.06493853763122126,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14hr_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14hr_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14hr_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14hr_ebvmodel2.snpy,B,g,r
ASAS14hu,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14hu_raw.txt,ok,,ok,,ok,,0.021585,,,,,,56935.09306292253,0.03511824799016536,1.079601656397718,0.021401815037693485,1.0591507769766342,0.007005039530623995,56935.08508294268,0.0794861978082355,1.0798620354444934,0.027286661943043973,1.0400090036197414,0.012458887376457383,0.09053220306527764,0.0059191732178236825,56935.078125,,56935.359375,,56936.77734375,,15.623690605163574,0.004403244238346815,15.57379150390625,0.004307861439883709,15.642180442810059,0.0051308367401361465,15.632187986592236,-0.008497381428660855,15.610489588763574,-0.03669808485732431,15.70633715180718,-0.06415670899712066,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14hu_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14hu_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14hu_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14hu_ebvmodel2.snpy,B,g,r
ASAS14jc,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14jc_raw.txt,ok,,ok,,ok,,0.011317,,,,,,56955.63440183135,0.5377095443137315,0.8864064220220158,0.03072242514738708,0.9162454670666191,0.0051443557832522545,56955.57083633306,0.14172749986397526,0.888501561273883,0.028267477102095387,0.9172049850361045,0.009249193838067686,0.7884286328977502,0.009547471299771564,56955.6328125,,56955.8828125,,56956.98828125,,16.24005889892578,0.008281976915895939,16.029565811157227,0.008578430861234665,15.424871444702148,0.00786892045289278,16.21644253598194,0.02361636294384083,16.015909225779872,0.013656585377353123,15.44219188044241,-0.017320435740260716,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14jc_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14jc_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14jc_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14jc_ebvmodel2.snpy,B,g,r
ASAS14jg,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14jg_raw.txt,ok,,ok,,ok,,0.014817,,,,,,56960.43637003614,0.5441090253631613,1.0905207283859855,0.03223917630321654,1.130495187790978,0.022912686497363492,56957.9207236623,0.23388385856107705,1.173151270767709,0.08003586218672101,1.3001022277586565,0.00580092294306373,-0.02020323282564078,0.007557258151578414,56960.44140625,,56960.7109375,,56962.45703125,,14.876436233520508,0.047220997512340546,14.801816940307617,0.025936709716916084,14.801660537719727,0.026423057541251183,14.889282440244065,-0.01284620672355748,14.825975652566894,-0.024158712259277938,14.84711305865281,-0.04545252093308375,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14jg_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14jg_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14jg_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14jg_ebvmodel2.snpy,B,g,r
ASAS14kq,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14kq_raw.txt,ok,,ok,,ok,,0.033577,,,,,,56990.51978938563,0.0680466404614215,1.0454683462589336,0.051408669257788316,1.021251082655824,0.007266173086039567,56990.504991761365,0.08072292860342001,1.0459455764432375,0.03896159527651265,1.0195606571459415,0.008489022478179193,0.09050680008042385,0.005154574755273348,56990.515625,,56990.7890625,,56992.078125,,16.617704391479492,0.0072857895866036415,16.558944702148438,0.006704902742058039,16.61845588684082,0.007725218776613474,16.631338449337346,-0.013634057857853082,16.612696691900577,-0.05375198975213877,16.70116061834706,-0.08270473150623897,0.0,,,"B,g,i,r,u,V,Y,Jrc2","B,g,i,r,u,V,Y,Jrc2","B,g,i,r,u,V,Y,Jrc2","B,g,i,r,u,V,Y,Jrc2","B,g,i,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14kq_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14kq_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14kq_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14kq_ebvmodel2.snpy,B,g,r
ASAS14lq,ASAS14lq,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14lq_raw.txt,ok,,ok,,ok,,0.026173,0.026173,344.330875,-20.966878,,CSPII_SNooPy_raw,56995.52324175574,0.8231170419647722,1.0259066147514473,0.04809628318090356,1.0004131777300773,0.025835363944554057,56995.228534766524,0.4800919570758254,1.0354796266191004,0.062132978557624015,1.009873977926747,0.018142752761384714,0.12711407299178074,0.01242348126324706,56995.5234375,,56995.79296875,,56997.0234375,,16.134475708007812,0.062263019382953644,16.057682037353516,0.039063986390829086,16.06707191467285,0.03823544830083847,16.130330703646024,0.004145004361786775,16.084075506457133,-0.02639346910361695,16.140042156790166,-0.07297024211731618,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lq_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lq_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lq_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lq_ebvmodel2.snpy,B,g,r
ASAS14lt,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14lt_raw.txt,ok,,ok,,ok,,0.032023,,,,,,57006.81404062377,0.13254347469042993,0.8376319993157559,0.0162994676569414,0.9441229710870755,0.008710362601594943,57006.79900588519,0.13188975890002844,0.8483716789987047,0.0416238398209688,0.9454014649313538,0.008643004351273359,0.09181097272580552,0.00652204657377463,57006.81640625,,57007.07421875,,57008.203125,,16.50653648376465,0.013451759703457355,16.442646026611328,0.011600288562476635,16.495500564575195,0.012288795784115791,16.52612041048257,-0.01958392671792021,16.49793881232461,-0.055292785713280196,16.57426356524537,-0.0787630006701754,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lt_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lt_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lt_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lt_ebvmodel2.snpy,B,g,r
ASAS14lw,ASAS14lw,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14lw_raw.txt,ok,,ok,,ok,,0.020886,0.020886,16.704875,-46.983322,,CSPII_SNooPy_raw,57013.2817167623,0.04839671419312045,1.1742520092484567,0.038026463220153094,1.1306145855517675,0.010006823856429505,57013.30870002973,0.057627078082876926,1.1732620169000152,0.04948667008387542,1.116019320017813,0.011459846487416573,0.04046958103055001,0.006173598069705774,57013.2890625,,57013.5546875,,57015.30078125,,15.58773422241211,0.007257619872689247,15.530583381652832,0.006280719768255949,15.64422607421875,0.008369781076908112,15.606647328458076,-0.018913106045966733,15.571242640202033,-0.04065925854920219,15.713379521903896,-0.06915344768514525,0.0,,,"Jrc2,g,i,H,B,u,V,Y,r","Jrc2,g,i,H,B,u,V,Y,r","Jrc2,g,i,H,B,u,V,Y,r","Jrc2,g,i,H,B,u,V,Y,r","Jrc2,g,i,H,B,u,V,Y,r",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lw_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14lw_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lw_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14lw_ebvmodel2.snpy,B,g,r
ASAS14me,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14me_raw.txt,ok,,ok,,ok,,0.0178,,,,,,57019.54080112175,0.48792118719930333,1.1379678187798974,0.039658499470100514,1.0763681183393805,0.005324650937351559,57019.541388576814,0.03844884984885787,1.1382387837158434,0.04800610641630158,1.0844070568955746,0.006891464113989467,0.03727321000600505,0.003618322224974575,57019.5234375,,57019.8046875,,57021.29296875,,15.125812530517578,0.004304388538002968,15.090171813964844,0.0040631843730807304,15.177947044372559,0.005018018651753664,15.14933033370887,-0.02351780319129082,15.12740164528703,-0.03722983132218591,15.234056735512366,-0.056109691139808605,0.0,,,"B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2","B,g,i,H,r,u,V,Y,Jrc2",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14me_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14me_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14me_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14me_ebvmodel2.snpy,B,g,r
ASAS14mf,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASAS14mf_raw.txt,ok,,ok,,ok,,0.03108,,,,,,57012.7167095047,0.15816490216778295,0.8403843954462576,0.013470391362188498,0.9809406074344472,0.006033638496142139,57012.71431875193,0.09443201021103094,0.8404616850443739,0.014391295331107312,0.9826426339189044,0.006424462568543179,0.10101461814938996,0.005413033426742906,57012.71875,,57012.98828125,,57014.171875,,16.5223445892334,0.008207648061215878,16.440776824951172,0.006721770390868187,16.51175308227539,0.007355572655797005,16.54281900025802,-0.020474411024622566,16.500195924640014,-0.05941909968884166,16.586070391377593,-0.0743173091022014,0.0,,,"B,g,i,r,u,V,Y","B,g,i,r,u,V,Y","B,g,i,r,u,V,Y","B,g,i,r,u,V,Y","B,g,i,r,u,V,Y",H3,st,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14mf_maxmodel_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_plots/ASAS14mf_ebvmodel2_plot.jpg,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14mf_maxmodel.snpy,/Users/lluisgalbany/Downloads/HST_UV/outputs/snpy_fits/ASAS14mf_ebvmodel2.snpy,B,g,r
