matched_snname,cubename,rasn,decsn,redshift,sample_ra_deg,sample_dec_deg,matched_in_list_snlist,sep_arcsec,snlist_snname,snlist_cubename,snlist_sem,snlist_sntype,snlist_notes
SN2013da,ASASSN-13an,13:45:36.209,-07:19:32.59,0.024245,206.4008708333333,-7.325719444444444,True,0.0,SN2013da,ASASSN-13an,P96,Ia,JOINED WITH P98 - SN2013da. 8 POINTINGS. BETTER SEEING IN P96. NO LC
SN2013dl,ASASSN-13ar,01:18:41.760,-07:26:39.70,0.017731,19.674,-7.444361111111111,True,0.0,SN2013dl,ASASSN-13ar,P96,Ia,NO LC
SN2013ef,ASASSN-13bb,01:55:20.710,+06:36:35.32,0.017251,28.83629166666666,6.609811111111111,True,0.0,SN2013ef,ASASSN-13bb,P96,Ia,NO LC
SN2013ex,ASASSN-13cc,05:32:46.620,-14:02:45.38,0.010242,83.19424999999998,-14.04593888888889,True,0.0,SN2013ex,ASASSN-13cc,P96,Ia,572;791 CREATED MANUALLY -- BAD
ASASSN-13ch,ASASSN-13ch,16:16:34.06,-00:35:27.38,0.016468,244.14191666666662,-0.5909388888888889,True,0.0,ASASSN-13ch,ASASSN-13ch,P96,Ia,
ASASSN-13cj,ASASSN-13cj,16:17:11.01,+04:33:14.72,0.016464,244.29587499999997,4.554088888888889,True,0.0,ASASSN-13cj,ASASSN-13cj,P96,Ia,NO LC
ASASSN-13cp,ASASSN-13cp,15:33:49.236,+21:08:21.87,0.023508,233.45514999999997,21.139408333333332,True,0.0,ASASSN-13cp,ASASSN-13cp,P96,Ia,NO LC
ASASSN-13cu,ASASSN-13cu,00:40:10.14,-10:26:25.90,0.02718,10.04225,-10.440527777777778,True,0.0,ASASSN-13cu,ASASSN-13cu,P96,Ia,
SN2008hv,ASASSN-13dd,09:07:34.061,+03:23:32.10,0.012646,136.89192083333333,3.3922499999999998,True,0.0,SN2008hv,ASASSN-13dd,P96,Ia,
SN2013hk,ASASSN-13dm,03:02:10.850,+15:55:38.78,0.017004,45.54520833333333,15.927438888888888,True,0.0,SN2013hk,ASASSN-13dm,P96,Ia,NO LC
ASASSN-14ba,ASASSN-14ba,10:21:31.90,+08:24:21.12,0.032646,155.38291666666663,8.405866666666666,True,0.0,ASASSN-14ba,ASASSN-14ba,P96,Ia-91T,NO LC
ASASSN-14cu,ASASSN-14cu,12:47:02.68,-24:14:41.30,0.024727,191.76116666666664,-24.244805555555555,True,0.0,ASASSN-14cu,ASASSN-14cu,P96,Ia,NO LC
ASASSN-14db,ASASSN-14db,22:02:01.85,-70:02:26.19,0.037378,330.5077083333333,-70.04060833333334,True,0.0,ASASSN-14db,ASASSN-14db,P96,Ia,NO LC
ASASSN-14dd,ASASSN-14dd,07:45:14.38,-71:24:14.04,0.017842,116.30991666666665,-71.40390000000001,True,0.0,ASASSN-14dd,ASASSN-14dd,P96,Ibn,JOINED WITH SN2016iye FROM P100 - 20 POINTINGS IN TOTAL
ASASSN-14dz,ASASSN-14dz,15:05:54.522,+12:44:43.33,0.02232,226.477175,12.745369444444444,True,0.0,ASASSN-14dz,ASASSN-14dz,P96,Ia,NO LC
ASASSN-14fa,ASASSN-14fa,02:52:23.06,-31:49:18.00,0.022315,43.09608333333333,-31.821666666666665,True,0.0,ASASSN-14fa,ASASSN-14fa,P96,Ia,MUSE-DEEP JOINING 13 POINTINGS
ASASSN-14hr,ASASSN-14hr,01:50:41.27,-14:31:06.37,0.033551,27.671958333333333,-14.518436111111113,True,0.0,ASASSN-14hr,ASASSN-14hr,P96,Ia,
ASASSN-14hu,ASASSN-14hu,06:43:26.92,-69:38:14.70,0.021634,100.86216666666665,-69.63741666666667,True,0.0,ASASSN-14hu,ASASSN-14hu,P96,Ia-91T,
ASASSN-14ig,ASASSN-14ig,01:16:04.95,-61:37:16.70,0.029115,19.020624999999995,-61.62130555555556,True,0.0,ASASSN-14ig,ASASSN-14ig,P96,Ia,NO LC
ASASSN-14jc,ASASSN-14jc,07:35:35.29,-62:46:12.64,0.011124,113.89704166666665,-62.770177777777775,True,0.0,ASASSN-14jc,ASASSN-14jc,P96,Ia,
ASASSN-14jg,ASASSN-14jg,23:33:13.90,-60:34:11.50,0.014806,353.30791666666664,-60.569861111111116,True,0.0,ASASSN-14jg,ASASSN-14jg,P96,Ia,
ASASSN-14kq,ASASSN-14kq,23:45:15.51,-29:47:01.14,0.033746,356.314625,-29.78365,True,0.0,ASASSN-14kq,ASASSN-14kq,P96,Ia-91T,
ASASSN-14lt,ASASSN-14lt,03:11:02.54,-13:06:38.76,0.031894,47.76058333333333,-13.110766666666667,True,0.0,ASASSN-14lt,ASASSN-14lt,P96,Ia-91T,
ASASSN-14lv,ASASSN-14lv,23:32:07.37,-41:16:11.76,0.049281,353.03070833333334,-41.269933333333334,True,0.0,ASASSN-14lv,ASASSN-14lv,P96,Ia,NO LC
ASASSN-14me,ASASSN-14me,01:26:40.08,-57:59:49.31,0.017868,21.666999999999998,-57.997030555555554,True,0.0,ASASSN-14me,ASASSN-14me,P96,Ia-91T,REREDUCED JOINING 8 POINTINGS
ASASSN-14mf,ASASSN-14mf,00:04:54.46,-32:26:14.63,0.031209,1.2269166666666667,-32.437397222222216,True,0.0,ASASSN-14mf,ASASSN-14mf,P96,Ia,
ASASSN-14mg,ASASSN-14mg,02:53:58.10,-21:38:52.86,0.032295,43.492083333333326,-21.648016666666667,True,0.0,ASASSN-14mg,ASASSN-14mg,P96,Ia,NO LC - 164;171 CREATED MANUALLY -- BAD
ASASSN-14mw,ASASSN-14mw,01:41:25.16,-65:37:01.26,0.026782,25.354833333333332,-65.61701666666666,True,0.0,ASASSN-14mw,ASASSN-14mw,P96,Ia,JOINED WITH P106; NO LC - REDSHIFT TOO LARGE ?? SN OUT OF FOV in P96. P106 in FOV
ASASSN-15aj,ASASSN-15aj,10:52:53.26,-32:55:34.86,0.011142,163.22191666666666,-32.92635,True,0.0,ASASSN-15aj,ASASSN-15aj,P96,Ia,
